"custom_rate","code","duty_free_tl","name","category_id:id","id"
"3.673","030441","0.0","Fresh or chilled fillets of Pacific salmon 'Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus', Atlantic salmon 'Salmo salar' and Danube salmon 'Hucho hucho'","categ_0304","hs_code_030441"
"3.673","030442","0.0","Fresh or chilled fillets of trout 'Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster'","categ_0304","hs_code_030442"
"3.673","030443","0.0","Fresh or chilled fillets of flat fish 'Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae'","categ_0304","hs_code_030443"
"3.673","030444","0.0","Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae","categ_0304","hs_code_030444"
"3.673","030445","0.0","Fresh or chilled fillets of swordfish 'Xiphias gladius'","categ_0304","hs_code_030445"
"3.673","030446","0.0","Fresh or chilled fillets of toothfish 'Dissostichus spp.'","categ_0304","hs_code_030446"
"3.673","030449","0.0","Fresh or chilled fillets of fish, n.e.s.","categ_0304","hs_code_030449"
"3.673","030451","0.0","Fresh or chilled meat, whether or not minced, of tilapia 'Oreochromis spp.', catfish 'Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.', carp 'Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus', eels 'Anguilla spp.', Nile perch 'Lates niloticus' and snakeheads 'Channa spp.' (excl. fillets)","categ_0304","hs_code_030451"
"3.673","030452","0.0","Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)","categ_0304","hs_code_030452"
"3.673","030453","0.0","Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. fillets)","categ_0304","hs_code_030453"
"3.673","030454","0.0","Fresh or chilled meat, whether or not minced, of swordfish 'Xiphias gladius' (excl. fillets)","categ_0304","hs_code_030454"
"3.673","030455","0.0","Fresh or chilled meat, whether or not minced, of toothfish 'Dissostichus spp.' (excl. fillets)","categ_0304","hs_code_030455"
